Academy Name,Language Code,Language Name,Native Name,Level,Lesson Number,Lesson ID,Lesson Title,Story Status,Dialogue Status,Grammar Status,Conjugation Status,Vocabulary Count,Expressions Count,Arabic Meaning Status,Download Path
"Polyglot Academy","FR","French","Français","A1",11,"FR-A1-011","Lesson 11: The Verb ""To Be"" (Part 1)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-011.json"
"Polyglot Academy","FR","French","Français","A1",12,"FR-A1-012","Lesson 12: The Verb ""To Be"" (Part 2)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-012.json"
"Polyglot Academy","FR","French","Français","A1",13,"FR-A1-013","Lesson 13: Nationalities & Countries (Part 1)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A1/FR-A1-013.json"
"Polyglot Academy","FR","French","Français","A1",14,"FR-A1-014","Lesson 14: Nationalities & Countries (Part 2)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A1/FR-A1-014.json"
"Polyglot Academy","FR","French","Français","A1",15,"FR-A1-015","Lesson 15: Professions (Part 1)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A1/FR-A1-015.json"
"Polyglot Academy","FR","French","Français","A1",16,"FR-A1-016","Lesson 16: Professions (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-016.json"
"Polyglot Academy","FR","French","Français","A1",17,"FR-A1-017","Lesson 17: Colors & Adjectives (Part 1)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A1/FR-A1-017.json"
"Polyglot Academy","FR","French","Français","A1",18,"FR-A1-018","Lesson 18: Colors & Adjectives (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-018.json"
"Polyglot Academy","FR","French","Français","A1",19,"FR-A1-019","Lesson 19: Basic Question Words (Part 1)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A1/FR-A1-019.json"
"Polyglot Academy","FR","French","Français","A1",20,"FR-A1-020","Lesson 20: Basic Question Words (Part 2)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A1/FR-A1-020.json"
"Polyglot Academy","FR","French","Français","A1",21,"FR-A1-021","Lesson 21: The Verb ""To Have"" (Part 1)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-021.json"
"Polyglot Academy","FR","French","Français","A1",22,"FR-A1-022","Lesson 22: The Verb ""To Have"" (Part 2)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A1/FR-A1-022.json"
"Polyglot Academy","FR","French","Français","A1",23,"FR-A1-023","Lesson 23: Family Members (Part 1)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A1/FR-A1-023.json"
"Polyglot Academy","FR","French","Français","A1",24,"FR-A1-024","Lesson 24: Family Members (Part 2)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-024.json"
"Polyglot Academy","FR","French","Français","A1",25,"FR-A1-025","Lesson 25: Describing Physical Appearance (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-025.json"
"Polyglot Academy","FR","French","Français","A1",26,"FR-A1-026","Lesson 26: Describing Physical Appearance (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-026.json"
"Polyglot Academy","FR","French","Français","A1",27,"FR-A1-027","Lesson 27: Ages & Life Stages (Part 1)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-027.json"
"Polyglot Academy","FR","French","Français","A1",28,"FR-A1-028","Lesson 28: Ages & Life Stages (Part 2)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A1/FR-A1-028.json"
"Polyglot Academy","FR","French","Français","A1",29,"FR-A1-029","Lesson 29: Pets & Animals (Part 1)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A1/FR-A1-029.json"
"Polyglot Academy","FR","French","Français","A1",30,"FR-A1-030","Lesson 30: Pets & Animals (Part 2)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-030.json"
"Polyglot Academy","FR","French","Français","A1",31,"FR-A1-031","Lesson 31: Definite vs Indefinite Articles (Part 1)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A1/FR-A1-031.json"
"Polyglot Academy","FR","French","Français","A1",32,"FR-A1-032","Lesson 32: Definite vs Indefinite Articles (Part 2)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A1/FR-A1-032.json"
"Polyglot Academy","FR","French","Français","A1",33,"FR-A1-033","Lesson 33: Noun Gender & Plurals (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-033.json"
"Polyglot Academy","FR","French","Français","A1",34,"FR-A1-034","Lesson 34: Noun Gender & Plurals (Part 2)","Pending","Pending","Pending","Pending",21,5,"Pending","/downloads/FR/A1/FR-A1-034.json"
"Polyglot Academy","FR","French","Français","A1",35,"FR-A1-035","Lesson 35: Demonstrative Pronouns (This/That) (Part 1)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A1/FR-A1-035.json"
"Polyglot Academy","FR","French","Français","A1",36,"FR-A1-036","Lesson 36: Demonstrative Pronouns (This/That) (Part 2)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-036.json"
"Polyglot Academy","FR","French","Français","A1",37,"FR-A1-037","Lesson 37: Common Objects (Part 1)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-037.json"
"Polyglot Academy","FR","French","Français","A1",38,"FR-A1-038","Lesson 38: Common Objects (Part 2)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-038.json"
"Polyglot Academy","FR","French","Français","A1",39,"FR-A1-039","Lesson 39: In the Classroom (Part 1)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-039.json"
"Polyglot Academy","FR","French","Français","A1",40,"FR-A1-040","Lesson 40: In the Classroom (Part 2)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-040.json"
"Polyglot Academy","FR","French","Français","A1",41,"FR-A1-041","Lesson 41: Regular -AR/-ER/-IR Verbs (Part 1)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-041.json"
"Polyglot Academy","FR","French","Français","A1",42,"FR-A1-042","Lesson 42: Regular -AR/-ER/-IR Verbs (Part 2)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A1/FR-A1-042.json"
"Polyglot Academy","FR","French","Français","A1",43,"FR-A1-043","Lesson 43: Daily Routines (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-043.json"
"Polyglot Academy","FR","French","Français","A1",44,"FR-A1-044","Lesson 44: Daily Routines (Part 2)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-044.json"
"Polyglot Academy","FR","French","Français","A1",45,"FR-A1-045","Lesson 45: Telling Time (Part 1)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-045.json"
"Polyglot Academy","FR","French","Français","A1",46,"FR-A1-046","Lesson 46: Telling Time (Part 2)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-046.json"
"Polyglot Academy","FR","French","Français","A1",47,"FR-A1-047","Lesson 47: Parts of the Day (Part 1)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A1/FR-A1-047.json"
"Polyglot Academy","FR","French","Français","A1",48,"FR-A1-048","Lesson 48: Parts of the Day (Part 2)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A1/FR-A1-048.json"
"Polyglot Academy","FR","French","Français","A1",49,"FR-A1-049","Lesson 49: Frequency Adverbs (Part 1)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A1/FR-A1-049.json"
"Polyglot Academy","FR","French","Français","A1",50,"FR-A1-050","Lesson 50: Frequency Adverbs (Part 2)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A1/FR-A1-050.json"
"Polyglot Academy","FR","French","Français","A1",51,"FR-A1-051","Lesson 51: Advanced Question Words (Part 1)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-051.json"
"Polyglot Academy","FR","French","Français","A1",52,"FR-A1-052","Lesson 52: Advanced Question Words (Part 2)","Pending","Pending","Pending","Pending",21,5,"Pending","/downloads/FR/A1/FR-A1-052.json"
"Polyglot Academy","FR","French","Français","A1",53,"FR-A1-053","Lesson 53: Basic Negation (Part 1)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A1/FR-A1-053.json"
"Polyglot Academy","FR","French","Français","A1",54,"FR-A1-054","Lesson 54: Basic Negation (Part 2)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A1/FR-A1-054.json"
"Polyglot Academy","FR","French","Français","A1",55,"FR-A1-055","Lesson 55: Conjunctions (And/But/Or) (Part 1)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-055.json"
"Polyglot Academy","FR","French","Français","A1",56,"FR-A1-056","Lesson 56: Conjunctions (And/But/Or) (Part 2)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A1/FR-A1-056.json"
"Polyglot Academy","FR","French","Français","A1",57,"FR-A1-057","Lesson 57: Expressing Needs (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-057.json"
"Polyglot Academy","FR","French","Français","A1",58,"FR-A1-058","Lesson 58: Expressing Needs (Part 2)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-058.json"
"Polyglot Academy","FR","French","Français","A1",59,"FR-A1-059","Lesson 59: Making Simple Requests (Part 1)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-059.json"
"Polyglot Academy","FR","French","Français","A1",60,"FR-A1-060","Lesson 60: Making Simple Requests (Part 2)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-060.json"
"Polyglot Academy","FR","French","Français","A1",61,"FR-A1-061","Lesson 61: Food & Groceries (Part 1)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-061.json"
"Polyglot Academy","FR","French","Français","A1",62,"FR-A1-062","Lesson 62: Food & Groceries (Part 2)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A1/FR-A1-062.json"
"Polyglot Academy","FR","French","Français","A1",63,"FR-A1-063","Lesson 63: Ordering in a Cafe (Part 1)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-063.json"
"Polyglot Academy","FR","French","Français","A1",64,"FR-A1-064","Lesson 64: Ordering in a Cafe (Part 2)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-064.json"
"Polyglot Academy","FR","French","Français","A1",65,"FR-A1-065","Lesson 65: Quantities & Measurements (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-065.json"
"Polyglot Academy","FR","French","Français","A1",66,"FR-A1-066","Lesson 66: Quantities & Measurements (Part 2)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A1/FR-A1-066.json"
"Polyglot Academy","FR","French","Français","A1",67,"FR-A1-067","Lesson 67: Numbers 100-1000 (Part 1)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A1/FR-A1-067.json"
"Polyglot Academy","FR","French","Français","A1",68,"FR-A1-068","Lesson 68: Numbers 100-1000 (Part 2)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A1/FR-A1-068.json"
"Polyglot Academy","FR","French","Français","A1",69,"FR-A1-069","Lesson 69: Expressing Hunger/Thirst (Part 1)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-069.json"
"Polyglot Academy","FR","French","Français","A1",70,"FR-A1-070","Lesson 70: Expressing Hunger/Thirst (Part 2)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A1/FR-A1-070.json"
"Polyglot Academy","FR","French","Français","A1",71,"FR-A1-071","Lesson 71: Expressing Likes & Dislikes (Part 1)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-071.json"
"Polyglot Academy","FR","French","Français","A1",72,"FR-A1-072","Lesson 72: Expressing Likes & Dislikes (Part 2)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-072.json"
"Polyglot Academy","FR","French","Français","A1",73,"FR-A1-073","Lesson 73: Hobbies & Free Time (Part 1)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A1/FR-A1-073.json"
"Polyglot Academy","FR","French","Français","A1",74,"FR-A1-074","Lesson 74: Hobbies & Free Time (Part 2)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A1/FR-A1-074.json"
"Polyglot Academy","FR","French","Français","A1",75,"FR-A1-075","Lesson 75: Sports & Activities (Part 1)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-075.json"
"Polyglot Academy","FR","French","Français","A1",76,"FR-A1-076","Lesson 76: Sports & Activities (Part 2)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A1/FR-A1-076.json"
"Polyglot Academy","FR","French","Français","A1",77,"FR-A1-077","Lesson 77: Music & Entertainment (Part 1)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A1/FR-A1-077.json"
"Polyglot Academy","FR","French","Français","A1",78,"FR-A1-078","Lesson 78: Music & Entertainment (Part 2)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A1/FR-A1-078.json"
"Polyglot Academy","FR","French","Français","A1",79,"FR-A1-079","Lesson 79: Weekend Plans (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-079.json"
"Polyglot Academy","FR","French","Français","A1",80,"FR-A1-080","Lesson 80: Weekend Plans (Part 2)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A1/FR-A1-080.json"
"Polyglot Academy","FR","French","Français","A1",81,"FR-A1-081","Lesson 81: Places in the City (Part 1)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A1/FR-A1-081.json"
"Polyglot Academy","FR","French","Français","A1",82,"FR-A1-082","Lesson 82: Places in the City (Part 2)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A1/FR-A1-082.json"
"Polyglot Academy","FR","French","Français","A1",83,"FR-A1-083","Lesson 83: Asking for Directions (Part 1)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-083.json"
"Polyglot Academy","FR","French","Français","A1",84,"FR-A1-084","Lesson 84: Asking for Directions (Part 2)","Pending","Pending","Pending","Pending",21,5,"Pending","/downloads/FR/A1/FR-A1-084.json"
"Polyglot Academy","FR","French","Français","A1",85,"FR-A1-085","Lesson 85: Transportation (Part 1)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-085.json"
"Polyglot Academy","FR","French","Français","A1",86,"FR-A1-086","Lesson 86: Transportation (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-086.json"
"Polyglot Academy","FR","French","Français","A1",87,"FR-A1-087","Lesson 87: Public Buildings (Part 1)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A1/FR-A1-087.json"
"Polyglot Academy","FR","French","Français","A1",88,"FR-A1-088","Lesson 88: Public Buildings (Part 2)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-088.json"
"Polyglot Academy","FR","French","Français","A1",89,"FR-A1-089","Lesson 89: Rooms in a House (Part 1)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A1/FR-A1-089.json"
"Polyglot Academy","FR","French","Français","A1",90,"FR-A1-090","Lesson 90: Rooms in a House (Part 2)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-090.json"
"Polyglot Academy","FR","French","Français","A1",91,"FR-A1-091","Lesson 91: Present Continuous Teaser (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-091.json"
"Polyglot Academy","FR","French","Français","A1",92,"FR-A1-092","Lesson 92: Present Continuous Teaser (Part 2)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-092.json"
"Polyglot Academy","FR","French","Français","A1",93,"FR-A1-093","Lesson 93: Weather Expressions (Part 1)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-093.json"
"Polyglot Academy","FR","French","Français","A1",94,"FR-A1-094","Lesson 94: Weather Expressions (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-094.json"
"Polyglot Academy","FR","French","Français","A1",95,"FR-A1-095","Lesson 95: Seasons & Months (Part 1)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A1/FR-A1-095.json"
"Polyglot Academy","FR","French","Français","A1",96,"FR-A1-096","Lesson 96: Seasons & Months (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-096.json"
"Polyglot Academy","FR","French","Français","A1",97,"FR-A1-097","Lesson 97: Clothing & Accessories (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A1/FR-A1-097.json"
"Polyglot Academy","FR","French","Français","A1",98,"FR-A1-098","Lesson 98: Clothing & Accessories (Part 2)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A1/FR-A1-098.json"
"Polyglot Academy","FR","French","Français","A1",99,"FR-A1-099","Lesson 99: A1 Comprehensive Review (Part 1)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A1/FR-A1-099.json"
"Polyglot Academy","FR","French","Français","A1",100,"FR-A1-100","Lesson 100: A1 Comprehensive Review (Part 2)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-100.json"
"Polyglot Academy","FR","French","Français","A2",1,"FR-A2-001","Lesson 1: Present Tense Review (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A2/FR-A2-001.json"
"Polyglot Academy","FR","French","Français","A2",2,"FR-A2-002","Lesson 2: Present Tense Review (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A2/FR-A2-002.json"
"Polyglot Academy","FR","French","Français","A2",3,"FR-A2-003","Lesson 3: Irregular Verbs (Group 1) (Part 1)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A2/FR-A2-003.json"
"Polyglot Academy","FR","French","Français","A2",4,"FR-A2-004","Lesson 4: Irregular Verbs (Group 1) (Part 2)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A2/FR-A2-004.json"
"Polyglot Academy","FR","French","Français","A2",5,"FR-A2-005","Lesson 5: Irregular Verbs (Group 2) (Part 1)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A2/FR-A2-005.json"
"Polyglot Academy","FR","French","Français","A2",6,"FR-A2-006","Lesson 6: Irregular Verbs (Group 2) (Part 2)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A2/FR-A2-006.json"
"Polyglot Academy","FR","French","Français","A2",7,"FR-A2-007","Lesson 7: Stem-changing Verbs (Part 1)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A2/FR-A2-007.json"
"Polyglot Academy","FR","French","Français","A2",8,"FR-A2-008","Lesson 8: Stem-changing Verbs (Part 2)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A2/FR-A2-008.json"
"Polyglot Academy","FR","French","Français","A2",9,"FR-A2-009","Lesson 9: Expressing Obligation (Part 1)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A2/FR-A2-009.json"
"Polyglot Academy","FR","French","Français","A2",10,"FR-A2-010","Lesson 10: Expressing Obligation (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A2/FR-A2-010.json"
"Polyglot Academy","FR","French","Français","A2",11,"FR-A2-011","Lesson 11: Reflexive Verbs (Part 1)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A2/FR-A2-011.json"
"Polyglot Academy","FR","French","Français","A2",12,"FR-A2-012","Lesson 12: Reflexive Verbs (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A2/FR-A2-012.json"
"Polyglot Academy","FR","French","Français","A2",13,"FR-A2-013","Lesson 13: Detailed Morning Routine (Part 1)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A2/FR-A2-013.json"
"Polyglot Academy","FR","French","Français","A2",14,"FR-A2-014","Lesson 14: Detailed Morning Routine (Part 2)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A2/FR-A2-014.json"
"Polyglot Academy","FR","French","Français","A2",15,"FR-A2-015","Lesson 15: Body Parts (Part 1)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A2/FR-A2-015.json"
"Polyglot Academy","FR","French","Français","A2",16,"FR-A2-016","Lesson 16: Body Parts (Part 2)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A2/FR-A2-016.json"
"Polyglot Academy","FR","French","Français","A2",17,"FR-A2-017","Lesson 17: At the Doctor/Pharmacy (Part 1)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A2/FR-A2-017.json"
"Polyglot Academy","FR","French","Français","A2",18,"FR-A2-018","Lesson 18: At the Doctor/Pharmacy (Part 2)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A2/FR-A2-018.json"
"Polyglot Academy","FR","French","Français","A2",19,"FR-A2-019","Lesson 19: Symptoms & Illnesses (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A2/FR-A2-019.json"
"Polyglot Academy","FR","French","Français","A2",20,"FR-A2-020","Lesson 20: Symptoms & Illnesses (Part 2)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A2/FR-A2-020.json"
"Polyglot Academy","FR","French","Français","A2",21,"FR-A2-021","Lesson 21: Introduction to the Past (Perfect/Passé Composé) (Part 1)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A2/FR-A2-021.json"
"Polyglot Academy","FR","French","Français","A2",22,"FR-A2-022","Lesson 22: Introduction to the Past (Perfect/Passé Composé) (Part 2)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A2/FR-A2-022.json"
"Polyglot Academy","FR","French","Français","A2",23,"FR-A2-023","Lesson 23: Past Participles Regular (Part 1)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A2/FR-A2-023.json"
"Polyglot Academy","FR","French","Français","A2",24,"FR-A2-024","Lesson 24: Past Participles Regular (Part 2)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A2/FR-A2-024.json"
"Polyglot Academy","FR","French","Français","A2",25,"FR-A2-025","Lesson 25: Past Participles Irregular (Part 1)","Pending","Pending","Pending","Pending",23,5,"Pending","/downloads/FR/A2/FR-A2-025.json"
"Polyglot Academy","FR","French","Français","A2",26,"FR-A2-026","Lesson 26: Past Participles Irregular (Part 2)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A2/FR-A2-026.json"
"Polyglot Academy","FR","French","Français","A2",27,"FR-A2-027","Lesson 27: Auxiliary Verbs in the Past (Part 1)","Pending","Pending","Pending","Pending",24,5,"Pending","/downloads/FR/A2/FR-A2-027.json"
"Polyglot Academy","FR","French","Français","A2",28,"FR-A2-028","Lesson 28: Auxiliary Verbs in the Past (Part 2)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A2/FR-A2-028.json"
"Polyglot Academy","FR","French","Français","A2",29,"FR-A2-029","Lesson 29: Timeline of Yesterday (Part 1)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A2/FR-A2-029.json"
"Polyglot Academy","FR","French","Français","A2",30,"FR-A2-030","Lesson 30: Timeline of Yesterday (Part 2)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A2/FR-A2-030.json"
"Polyglot Academy","FR","French","Français","A2",31,"FR-A2-031","Lesson 31: Expressing Agreement & Disagreement (Part 1)","Pending","Pending","Pending","Pending",18,5,"Pending","/downloads/FR/A2/FR-A2-031.json"
"Polyglot Academy","FR","French","Français","A2",32,"FR-A2-032","Lesson 32: Expressing Agreement & Disagreement (Part 2)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A2/FR-A2-032.json"
"Polyglot Academy","FR","French","Français","A2",33,"FR-A2-033","Lesson 33: Time Markers (Ago, Since, For) (Part 1)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A2/FR-A2-033.json"
"Polyglot Academy","FR","French","Français","A2",34,"FR-A2-034","Lesson 34: Time Markers (Ago, Since, For) (Part 2)","Pending","Pending","Pending","Pending",16,5,"Pending","/downloads/FR/A2/FR-A2-034.json"
"Polyglot Academy","FR","French","Français","A2",35,"FR-A2-035","Lesson 35: Biographies & Life Events (Part 1)","Pending","Pending","Pending","Pending",19,5,"Pending","/downloads/FR/A2/FR-A2-035.json"
